Date,SPY,TLT,GLD,GDX,EMB,SPXL,TMF,SHY
2009-04-29,71.45079803466797,72.64830780029297,88.33000183105469,31.822399139404297,54.66382598876953,2.0101709365844727,9.97349739074707,76.27819061279297
2009-04-30,71.47532653808594,72.3605728149414,87.2699966430664,30.902185440063477,56.07769775390625,2.013563394546509,9.794173240661621,76.34178924560547
2009-05-01,71.85961151123047,71.86251068115234,86.94999694824219,31.02425765991211,56.176239013671875,2.0535905361175537,9.616865158081055,76.28443908691406
2009-05-04,74.30428314208984,72.09930419921875,88.63999938964844,32.89283752441406,56.225547790527344,2.258474826812744,9.74178695678711,76.26622009277344
2009-05-05,74.05079650878906,72.01053619384766,88.25,32.65810012817383,57.315799713134766,2.234051465988159,9.73977279663086,76.248046875
2009-05-06,75.33443450927734,71.84033966064453,89.54000091552734,34.61119842529297,57.72233963012695,2.339885711669922,9.556419372558594,76.29351806640625
2009-05-07,74.28790283203125,70.08648681640625,89.44000244140625,34.32011413574219,58.147342681884766,2.244227886199951,8.728318214416504,76.1843032836914
2009-05-08,76.021240234375,70.25668334960938,89.9800033569336,35.174591064453125,58.44913864135742,2.4036574363708496,8.806896209716797,76.23895263671875
2009-05-11,74.59858703613281,71.25569915771484,89.69000244140625,35.03374481201172,58.362911224365234,2.268651008605957,9.209868431091309,76.3663101196289
2009-05-12,74.37783813476562,71.51473999023438,90.69999694824219,36.58308029174805,57.90098571777344,2.249654769897461,9.33277416229248,76.35728454589844
2009-05-13,72.5055160522461,72.29175567626953,91.08999633789062,35.62531280517578,57.67304611206055,2.0766568183898926,9.604775428771973,76.39363098144531
2009-05-14,73.12686920166016,72.57292938232422,91.02999877929688,35.72859573364258,57.43896484375,2.1166839599609375,9.763948440551758,76.42095184326172
2009-05-15,72.53005981445312,72.55070495605469,91.55000305175781,35.352996826171875,57.22956848144531,2.0651237964630127,9.671269416809082,76.41189575195312
2009-05-18,74.59043884277344,71.4259262084961,90.36000061035156,35.202762603759766,57.371219635009766,2.246263027191162,9.147408485412598,76.33905029296875
2009-05-19,74.50048065185547,71.04849243164062,90.95999908447266,36.085418701171875,57.66689682006836,2.244227886199951,9.002338409423828,76.38456726074219
2009-05-20,74.00174713134766,71.7959213256836,92.25,38.00095748901367,57.488258361816406,2.205557346343994,9.330759048461914,76.48464965820312
2009-05-21,72.93882751464844,69.99034881591797,93.8499984741211,38.72398376464844,58.005680084228516,2.1031157970428467,8.508700370788574,76.38456726074219
2009-05-22,72.78347778320312,69.21328735351562,94.1500015258789,39.48455810546875,57.81475830078125,2.0868327617645264,8.266919136047363,76.40278625488281
2009-05-26,74.64765167236328,68.16983032226562,93.76000213623047,39.287376403808594,57.90098571777344,2.260509967803955,7.801488876342773,76.3026123046875
2009-05-27,73.31494903564453,66.96361541748047,93.44999694824219,38.7052001953125,58.048763275146484,2.1302523612976074,7.34814977645874,76.28443908691406
2009-05-28,74.33695220947266,67.93307495117188,94.23999786376953,40.38599395751953,58.01802062988281,2.215733528137207,7.656418800354004,76.27532958984375
2009-05-29,75.65331268310547,69.68690490722656,96.19999694824219,41.4658317565918,57.70386505126953,2.329030990600586,8.367660522460938,76.38456726074219
2009-06-01,77.48473358154297,67.62669372558594,95.7300033569336,40.761592864990234,58.35651779174805,2.5067780017852783,7.555678844451904,76.32164001464844
2009-06-02,77.55016326904297,67.990478515625,96.36000061035156,41.83203887939453,58.78998947143555,2.529165744781494,7.690671443939209,76.29432678222656
2009-06-03,76.56901550292969,68.62891387939453,94.41000366210938,39.587852478027344,58.715702056884766,2.4253671169281006,7.867978096008301,76.43104553222656
2009-06-04,77.28852081298828,67.2109375,96.2300033569336,40.855491638183594,58.808570861816406,2.4823548793792725,7.35016393661499,76.35816955566406
2009-06-05,77.30488586425781,66.69866180419922,93.70999908447266,38.80849075317383,58.728050231933594,2.4891388416290283,7.162783145904541,75.8567123413086
2009-06-08,76.98602294921875,66.52790069580078,93.55999755859375,38.78031921386719,58.189353942871094,2.4640371799468994,7.098307132720947,75.65619659423828
2009-06-09,77.37846374511719,66.52051544189453,93.83000183105469,38.583133697509766,58.201717376708984,2.5027074813842773,7.118457317352295,75.82936096191406
2009-06-10,77.18219757080078,65.47366333007812,93.86000061035156,38.31081771850586,57.58864212036133,2.4823548793792725,6.707427501678467,75.82022094726562
2009-06-11,77.52562713623047,66.20123291015625,93.69999694824219,38.42349624633789,57.86733627319336,2.516954183578491,6.971373081207275,75.82936096191406
2009-06-12,77.73818969726562,66.79517364501953,92.16999816894531,37.12770080566406,58.387481689453125,2.5318801403045654,7.150692939758301,75.91140747070312
2009-06-15,75.95581817626953,67.39653778076172,91.0999984741211,35.653480529785156,58.09026336669922,2.349383592605591,7.368297100067139,75.96610260009766
2009-06-16,74.92562866210938,68.56951141357422,91.93000030517578,36.029075622558594,57.63820266723633,2.259153127670288,7.785370826721191,76.04815673828125
2009-06-17,74.8520736694336,68.18350982666016,92.3499984741211,35.89761734008789,58.44942855834961,2.253047466278076,7.620151519775391,76.13020324707031
2009-06-18,75.39984893798828,67.15151977539062,91.61000061035156,34.930458068847656,58.16456604003906,2.290360927581787,7.330016136169434,76.00262451171875
2009-06-19,75.67778015136719,68.07217407226562,91.9000015258789,36.04785919189453,57.650638580322266,2.31410551071167,7.602019309997559,76.04815673828125
2009-06-22,73.40839385986328,68.73290252685547,90.54000091552734,33.559532165527344,57.254295349121094,2.1139702796936035,7.859919548034668,76.14842224121094
